FID,MEASID,TimeStamp,Time,Site,LonBase,LatBase,Dist1__ft_,Dist2_Y,Dir1_X,Dir2_Y,LonPoint,LatPoint,Soil_Sat__,ID,Zone,Notes,Veg_Orig,Veg,Trip,Record_in,Lat_from_T,Longitude,Period___u,Attenuatio,Permittivi,Probe_Mode,F27,1973_raste,2014_raste,aspect,tpi_300m,flow_acc_d,slope_deg,Elevation,Fire_Year_,Fire_Num,Fire_Max_S,RASTERVALU
363,3087.000000000000000,6/29/2017 0:00:00,,127.000000000000000, , ,50.000000000000000,50.000000000000000,ENE,NNW,-118.679873000000001,36.715522000000000,3.080000000000000,3255.000000000000000,ZONE 00036,3.08,"Conifer, Shrub understory",mixed conifer,2017_Early,634.000000000000000,36.71553,-118.67986,1.1427,1.0012,3.0397,CD659 12cm rods, ,1.0000000,4.0000000,117.4319992,7,0.0000000,3.9570301,2384.6101074,2003,3,2,554.520429459999946
364,3086.000000000000000,6/29/2017 0:00:00,,127.000000000000000, , ,50.000000000000000,25.000000000000000,ENE,NNW,-118.679850999999999,36.715460000000000,2.450000000000000,3255.000000000000000,ZONE 00036,2.45,"Conifer, Shrub understory",mixed conifer,2017_Early,639.000000000000000,36.71545,-118.67992,1.1303,1.0016,2.8003,CD659 12cm rods, ,1.0000000,4.0000000,125.5380020,8,1.0000000,4.1157298,2384.1398926,2003,3,2,547.184544540000047
365,3085.000000000000000,6/29/2017 0:00:00,,127.000000000000000, , ,50.000000000000000,0.000000000000000,ENE,NNW,-118.679829999999995,36.715397000000003,2.300000000000000,3255.000000000000000,ZONE 00036,2.3,"Conifer, Shrub understory",mixed conifer,2017_Early,644.000000000000000,36.7154,-118.67983,1.1269,1.0006,2.7402,CD659 12cm rods, ,1.0000000,4.0000000,125.5380020,8,1.0000000,4.1157298,2384.1398926,2003,3,2,539.924867049999989
366,3094.000000000000000,6/29/2017 0:00:00,,127.000000000000000, , ,75.000000000000000,100.000000000000000,ENE,NNW,-118.679824999999994,36.715654000000001,3.390000000000000,1329.000000000000000,[No GPS Lock],3.39,"Conifer, Shrub understory",mixed conifer,2017_Early,1040.000000000000000,0,0,1.1506,1.0023,3.1602,CD659 12cm rods, ,1.0000000,4.0000000,79.9102020,5,2.0000000,2.9806499,2384.8300781,2003,3,2,573.593009769999981
367,3093.000000000000000,6/29/2017 0:00:00,,127.000000000000000, , ,75.000000000000000,75.000000000000000,ENE,NNW,-118.679804000000004,36.715592000000001,2.980000000000000,1329.000000000000000,[No GPS Lock],under CECO,"Conifer, Shrub understory",mixed conifer,2017_Early,1033.000000000000000,0,0,1.1427,1.0025,3.0014,CD659 12cm rods, ,1.0000000,4.0000000,108.2440033,7,0.0000000,2.7493000,2384.3000488,2003,3,2,566.228390460000014
368,3092.000000000000000,6/29/2017 0:00:00,,127.000000000000000, , ,75.000000000000000,50.000000000000000,ENE,NNW,-118.679783000000000,36.715528999999997,3.540000000000000,3255.000000000000000,ZONE 00036,bare,"Conifer, Shrub understory",mixed conifer,2017_Early,633.000000000000000,36.71552,-118.67975,1.1518,1.0012,3.2182,CD659 12cm rods, ,1.0000000,4.0000000,124.0149994,7,5.0000000,3.2152400,2384.0200195,2003,3,2,558.886399650000044
369,3091.000000000000000,6/29/2017 0:00:00,,127.000000000000000, , ,75.000000000000000,25.000000000000000,ENE,NNW,-118.679761999999997,36.715465999999999,2.960000000000000,3255.000000000000000,ZONE 00036,under 1"" duff,"Conifer, Shrub understory",mixed conifer,2017_Early,640.000000000000000,36.71549,-118.67986,1.1405,1.0019,2.9937,CD659 12cm rods, ,1.0000000,4.0000000,124.0149994,7,5.0000000,3.2152400,2384.0200195,2003,3,2,551.589963099999977
370,3090.000000000000000,6/29/2017 0:00:00,,127.000000000000000, , ,75.000000000000000,0.000000000000000,ENE,NNW,-118.679741000000007,36.715403999999999,2.620000000000000,3255.000000000000000,ZONE 00036,2.62,"Conifer, Shrub understory",mixed conifer,2017_Early,643.000000000000000,36.71538,-118.67974,1.1337,1.0018,2.8637,CD659 12cm rods, ,1.0000000,4.0000000,129.6750031,8,1.0000000,3.1134801,2383.6999512,2003,3,2,544.383863900000051
371,3099.000000000000000,6/29/2017 0:00:00,,127.000000000000000,-118.679736,36.715661,100.000000000000000,100.000000000000000,ENE,NNW,-118.679736000000005,36.715660999999997,2.700000000000000,1329.000000000000000,[No GPS Lock],WPT 974 in GPS 62,"Conifer, Shrub understory",mixed conifer,2017_Early,1041.000000000000000,0,0,1.1371,1.0016,2.8936,CD659 12cm rods, ,1.0000000,4.0000000,84.6353989,6,3.0000000,2.3952401,2384.3500977,2003,3,2,577.858416560000023
372,3098.000000000000000,6/29/2017 0:00:00,,127.000000000000000, , ,100.000000000000000,75.000000000000000,ENE,NNW,-118.679715000000002,36.715598000000000,3.100000000000000,1329.000000000000000,[No GPS Lock],under CECO,"Conifer, Shrub understory",mixed conifer,2017_Early,1032.000000000000000,0,0,1.145,1.0022,3.0472,CD659 12cm rods, ,1.0000000,4.0000000,115.3089981,7,0.0000000,2.2959099,2383.9399414,2003,3,2,570.540628090000041
373,3097.000000000000000,6/29/2017 0:00:00,,127.000000000000000, , ,100.000000000000000,50.000000000000000,ENE,NNW,-118.679693999999998,36.715536000000000,3.590000000000000,3255.000000000000000,ZONE 00036,under CECO,"Conifer, Shrub understory",mixed conifer,2017_Early,632.000000000000000,36.71553,-118.67969,1.1529,1.0023,3.2377,CD659 12cm rods, ,1.0000000,4.0000000,129.9440002,8,1.0000000,2.7416301,2383.5800781,2003,3,2,563.245468090000031
374,3096.000000000000000,6/29/2017 0:00:00,,127.000000000000000, , ,100.000000000000000,25.000000000000000,ENE,NNW,-118.679672999999994,36.715474000000000,1.810000000000000,3255.000000000000000,ZONE 00036,1.81,"Conifer, Shrub understory",mixed conifer,2017_Early,641.000000000000000,36.71548,-118.67972,1.1167,1.0004,2.554,CD659 12cm rods, ,1.0000000,4.0000000,129.9440002,8,1.0000000,2.7416301,2383.5800781,2003,3,2,555.986970150000047
375,3095.000000000000000,6/29/2017 0:00:00,,127.000000000000000,-118.679727,36.715506,100.000000000000000,0.000000000000000,ENE,NNW,-118.679652000000004,36.715411000000003,0.950000000000000,3255.000000000000000,ZONE 00036,WPT 972 in GPS 62,"Conifer, Shrub understory",mixed conifer,2017_Early,642.000000000000000,36.7154,-118.67973,1.0986,1.0011,2.2341,CD659 12cm rods, ,1.0000000,4.0000000,129.5059967,9,6.0000000,2.5390201,2383.2800293,2003,3,2,548.834510949999981
376,13095.000000000000000,6/28/2018 0:00:00,,127.000000000000000,-118.680072,36.71563301,0.000000000000000,100.000000000000000,E,N,-118.680071999999996,36.715632999999997,1.330000000000000,3255.000000000000000,ZONE 00059,WPT 1288,"Conifer, Shrub understory",mixed conifer,2018_Early,2201.000000000000000,36.71564,-118.68008,1.1065,1.0003,2.3735,CD659 12cm rods, ,1.0000000,4.0000000,88.9820023,5,2.0000000,3.5195999,2386.1101074,2003,3,2,561.994730969999978
377,13090.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,0.000000000000000,75.000000000000000,E,N,-118.680064000000002,36.715564999999998,0.910000000000000,3255.000000000000000,ZONE 00059,0.91,"Conifer, Shrub understory",mixed conifer,2018_Early,2202.000000000000000,36.71558,-118.68007,1.0975,1.0002,2.218,CD659 12cm rods, ,1.0000000,4.0000000,88.9820023,5,2.0000000,3.5195999,2386.1101074,2003,3,2,553.165655689999994
378,13085.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,0.000000000000000,50.000000000000000,E,N,-118.680054999999996,36.715496000000002,1.000000000000000,1329.000000000000000,ZONE 00092,1,"Conifer, Shrub understory",mixed conifer,2018_Early,1756.000000000000000,36.71553,-118.68002,1.1088,1.0002,2.2527,CD659 12cm rods, ,1.0000000,4.0000000,106.5469971,6,0.0000000,4.0078001,2386.0100098,2003,3,2,544.344955980000009
379,13080.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,0.000000000000000,25.000000000000000,E,N,-118.680047000000002,36.715428000000003,0.530000000000000,1329.000000000000000,ZONE 00092,0.53,"Conifer, Shrub understory",mixed conifer,2018_Early,1757.000000000000000,36.71544,-118.68001,1.0986,1.0004,2.0773,CD659 12cm rods, ,1.0000000,4.0000000,117.9359970,7,15.0000000,4.8774500,2385.7099609,2003,3,2,535.591379409999945
380,13075.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,0.000000000000000,0.000000000000000,E,N,-118.680037999999996,36.715358999999999,1.320000000000000,1329.000000000000000,ZONE 00092,1.32,"Conifer, Shrub understory",mixed conifer,2018_Early,1766.000000000000000,36.71538,-118.67999,1.1156,1.0008,2.37,CD659 12cm rods, ,1.0000000,4.0000000,120.7850037,7,1.0000000,5.3011599,2385.1499023,2003,3,2,526.861570580000034
381,13096.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,25.000000000000000,100.000000000000000,E,N,-118.679986000000000,36.715643999999998,0.810000000000000,3255.000000000000000,ZONE 00059,0.81,"Conifer, Shrub understory",mixed conifer,2018_Early,2200.000000000000000,36.71565,-118.67999,1.0952,1.0003,2.1793,CD659 12cm rods, ,1.0000000,4.0000000,93.2934036,6,3.0000000,3.5345299,2385.5000000,2003,3,2,566.201221379999993
382,13091.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,25.000000000000000,75.000000000000000,E,N,-118.679978000000006,36.715575000000001,1.220000000000000,3255.000000000000000,ZONE 00059,UNDER ARPA,"Conifer, Shrub understory",mixed conifer,2018_Early,2203.000000000000000,36.71558,-118.68001,1.1043,1.0009,2.3319,CD659 12cm rods, ,1.0000000,4.0000000,93.2934036,6,3.0000000,3.5345299,2385.5000000,2003,3,2,557.482530569999994
383,13086.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,25.000000000000000,50.000000000000000,E,N,-118.679969000000000,36.715507000000002,2.930000000000000,1329.000000000000000,ZONE 00092,UNDER ARPA,"Conifer, Shrub understory",mixed conifer,2018_Early,1755.000000000000000,36.71554,-118.67997,1.1484,1.0015,2.9814,CD659 12cm rods, ,1.0000000,4.0000000,112.0609970,7,0.0000000,4.2217302,2385.3300781,2003,3,2,548.773883289999958
384,13081.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,25.000000000000000,25.000000000000000,E,N,-118.679961000000006,36.715437999999999,0.890000000000000,1329.000000000000000,ZONE 00092,0.89,"Conifer, Shrub understory",mixed conifer,2018_Early,1758.000000000000000,36.71543,-118.67991,1.1065,1.0008,2.2111,CD659 12cm rods, ,1.0000000,4.0000000,121.5759964,7,1.0000000,4.8707199,2384.9199219,2003,3,2,540.127190899999960
385,13076.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,25.000000000000000,0.000000000000000,E,N,-118.679952000000000,36.715370000000000,1.210000000000000,1329.000000000000000,ZONE 00092,UNDER ARPA,"Conifer, Shrub understory",mixed conifer,2018_Early,1765.000000000000000,36.71539,-118.67994,1.1133,1.0013,2.3282,CD659 12cm rods, ,1.0000000,4.0000000,122.5999985,8,16.0000000,4.7867999,2384.3701172,2003,3,2,531.519887929999982
386,13097.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,50.000000000000000,100.000000000000000,E,N,-118.679900000000004,36.715654999999998,1.370000000000000,3255.000000000000000,ZONE 00059,1.37,"Conifer, Shrub understory",mixed conifer,2018_Early,2199.000000000000000,36.71568,-118.6799,1.1077,1.001,2.391,CD659 12cm rods, ,1.0000000,4.0000000,79.9102020,5,2.0000000,2.9806499,2384.8300781,2003,3,2,570.852408409999953
387,13092.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,50.000000000000000,75.000000000000000,E,N,-118.679890999999998,36.715586000000002,1.890000000000000,3255.000000000000000,ZONE 00059,UNDER CECO,"Conifer, Shrub understory",mixed conifer,2018_Early,2204.000000000000000,36.71559,-118.67988,1.119,1.0027,2.5873,CD659 12cm rods, ,1.0000000,4.0000000,99.7377014,6,4.0000000,3.3478000,2384.8601074,2003,3,2,562.183696660000010
388,13087.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,50.000000000000000,50.000000000000000,E,N,-118.679883000000004,36.715518000000003,2.030000000000000,1329.000000000000000,ZONE 00092,2.03,"Conifer, Shrub understory",mixed conifer,2018_Early,1754.000000000000000,36.71555,-118.67988,1.1303,1.0011,2.637,CD659 12cm rods, ,1.0000000,4.0000000,117.4319992,7,0.0000000,3.9570301,2384.6101074,2003,3,2,553.525028399999997
389,13082.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,50.000000000000000,25.000000000000000,E,N,-118.679873999999998,36.715449000000000,0.950000000000000,1329.000000000000000,ZONE 00092,UNDER CECO,"Conifer, Shrub understory",mixed conifer,2018_Early,1759.000000000000000,36.71545,-118.67982,1.1077,1.0007,2.2313,CD659 12cm rods, ,1.0000000,4.0000000,125.5380020,8,1.0000000,4.1157298,2384.1398926,2003,3,2,544.919379830000025
390,13077.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,50.000000000000000,0.000000000000000,E,N,-118.679866000000004,36.715381000000001,1.680000000000000,1329.000000000000000,ZONE 00092,1.68,"Conifer, Shrub understory",mixed conifer,2018_Early,1764.000000000000000,36.71537,-118.67986,1.1235,1.0024,2.5076,CD659 12cm rods, ,1.0000000,4.0000000,125.5380020,8,1.0000000,4.1157298,2384.1398926,2003,3,2,536.369322870000019
391,13098.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,75.000000000000000,100.000000000000000,E,N,-118.679813999999993,36.715665000000001,0.100000000000000,3255.000000000000000,ZONE 00059,0.1,"Conifer, Shrub understory",mixed conifer,2018_Early,2198.000000000000000,36.71569,-118.67982,1.0794,1.0006,1.9178,CD659 12cm rods, ,1.0000000,4.0000000,84.6353989,6,3.0000000,2.3952401,2384.3500977,2003,3,2,575.487661210000056
392,13093.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,75.000000000000000,75.000000000000000,E,N,-118.679805999999999,36.715597000000002,0.980000000000000,3255.000000000000000,ZONE 00059,UNDER CECO,"Conifer, Shrub understory",mixed conifer,2018_Early,2205.000000000000000,36.71557,-118.67981,1.0998,1.004,2.243,CD659 12cm rods, ,1.0000000,4.0000000,108.2440033,7,0.0000000,2.7493000,2384.3000488,2003,3,2,566.868928529999948
393,13088.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,75.000000000000000,50.000000000000000,E,N,-118.679796999999994,36.715527999999999,0.900000000000000,1329.000000000000000,ZONE 00092,0.9,"Conifer, Shrub understory",mixed conifer,2018_Early,1753.000000000000000,36.71553,-118.67979,1.1065,1.0004,2.2126,CD659 12cm rods, ,1.0000000,4.0000000,124.0149994,7,5.0000000,3.2152400,2384.0200195,2003,3,2,558.260239319999982
394,13083.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,75.000000000000000,25.000000000000000,E,N,-118.679789000000000,36.715460000000000,1.530000000000000,1329.000000000000000,ZONE 00092,UNDER CECO,"Conifer, Shrub understory",mixed conifer,2018_Early,1760.000000000000000,36.71546,-118.67976,1.1201,1.0013,2.4497,CD659 12cm rods, ,1.0000000,4.0000000,129.6750031,8,1.0000000,3.1134801,2383.6999512,2003,3,2,549.693317719999982
395,13078.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,75.000000000000000,0.000000000000000,E,N,-118.679779999999994,36.715390999999997,0.000000000000000,1329.000000000000000,ZONE 00092,0,"Conifer, Shrub understory",mixed conifer,2018_Early,1763.000000000000000,36.71538,-118.67977,1.0749,1.0002,1.6924,CD659 12cm rods, ,1.0000000,4.0000000,129.6750031,8,1.0000000,3.1134801,2383.6999512,2003,3,2,541.200506809999979
396,13099.000000000000000,6/28/2018 0:00:00,,127.000000000000000,-118.679728,36.71567601,100.000000000000000,100.000000000000000,E,N,-118.679727999999997,36.715676000000002,2.400000000000000,3255.000000000000000,ZONE 00059,WPT 1287,"Conifer, Shrub understory",mixed conifer,2018_Early,2197.000000000000000,36.71575,-118.67976,1.1292,1.0015,2.7794,CD659 12cm rods, ,1.0000000,4.0000000,84.6353989,6,3.0000000,2.3952401,2384.3500977,2003,3,2,580.106979779999961
397,13094.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,100.000000000000000,75.000000000000000,E,N,-118.679720000000003,36.715608000000003,1.210000000000000,3255.000000000000000,ZONE 00059,UNDER CECO,"Conifer, Shrub understory",mixed conifer,2018_Early,2206.000000000000000,36.71561,-118.67972,1.1043,1.0012,2.3311,CD659 12cm rods, ,1.0000000,4.0000000,115.3089981,7,0.0000000,2.2959099,2383.9399414,2003,3,2,571.538226200000054
398,13089.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,100.000000000000000,50.000000000000000,E,N,-118.679710999999998,36.715539000000000,2.190000000000000,1329.000000000000000,ZONE 00092,UNDER CECO,"Conifer, Shrub understory",mixed conifer,2018_Early,1752.000000000000000,36.71553,-118.6797,1.1337,1.0012,2.7,CD659 12cm rods, ,1.0000000,4.0000000,129.9440002,8,1.0000000,2.7416301,2383.5800781,2003,3,2,562.979516030000013
399,13084.000000000000000,6/28/2018 0:00:00,,127.000000000000000, , ,100.000000000000000,25.000000000000000,E,N,-118.679703000000003,36.715471000000001,0.030000000000000,1329.000000000000000,ZONE 00092,UNDER CECO,"Conifer, Shrub understory",mixed conifer,2018_Early,1761.000000000000000,36.7155,-118.6797,1.0873,1.0003,1.8902,CD659 12cm rods, ,1.0000000,4.0000000,129.9440002,8,1.0000000,2.7416301,2383.5800781,2003,3,2,554.449004579999951
400,13079.000000000000000,6/28/2018 0:00:00,,127.000000000000000,-118.679694,36.71540201,100.000000000000000,0.000000000000000,E,N,-118.679693999999998,36.715401999999997,0.280000000000000,1329.000000000000000,ZONE 00092,UNDER CECO; WPT 1289,"Conifer, Shrub understory",mixed conifer,2018_Early,1762.000000000000000,36.71542,-118.6797,1.093,1.0004,1.9826,CD659 12cm rods, ,1.0000000,4.0000000,129.5059967,9,6.0000000,2.5390201,2383.2800293,2003,3,2,546.013439719999951
401,122.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,100.000000000000000,-5.000000000000000,W,S,-118.686616000000001,36.713697000000003,21.039999999999999,1329.000000000000000,[No GPS Lock],8% slope; WPT 702,Wet Meadow,dense meadow,2016_Early,2853.000000000000000, , , , , , , ,4.0000000,2.0000000,125.3079987,-7,10.0000000,12.2642002,2395.5200195,2003,1,4,4.134954270000000
402,123.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,100.000000000000000,5.000000000000000,W,S,-118.686616000000001,36.713676999999997,20.500000000000000,1783.000000000000000,ZONE 00077,5% slope; WPT 701,Wet Meadow,dense meadow,2016_Early,2854.000000000000000, , , , , , , ,4.0000000,2.0000000,125.3079987,-7,10.0000000,12.2642002,2395.5200195,2003,1,4,4.134954270000000
403,120.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,90.000000000000000,-5.000000000000000,W,S,-118.686588000000000,36.713692999999999,44.719999999999999,1329.000000000000000,[No GPS Lock],7% slope,Wet Meadow,dense meadow,2016_Early,2852.000000000000000, , , , , , , ,4.0000000,2.0000000,125.3079987,-7,10.0000000,12.2642002,2395.5200195,2003,1,4,0.973480730000000
404,121.000000000000000,5/31/2016 0:00:00,,140.000000000000000, , ,90.000000000000000,5.000000000000000,W,S,-118.686588000000000,36.713673000000000,48.500000000000000,1783.000000000000000, ,5% slope,Wet Meadow,dense meadow,2016_Early,0.000000000000000, , , , , , , ,4.0000000,2.0000000,125.3079987,-7,10.0000000,12.2642002,2395.5200195,2003,1,4,0.973480730000000
405,118.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,80.000000000000000,-5.000000000000000,W,S,-118.686559000000003,36.713687999999998,55.600000000000001,1329.000000000000000,[No GPS Lock],6% slope,Wet Meadow,dense meadow,2016_Early,2851.000000000000000, , , , , , , ,4.0000000,2.0000000,122.9589996,-9,19.0000000,11.0173998,2393.8200684,2003,1,4,2.187992810000000
406,119.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,80.000000000000000,5.000000000000000,W,S,-118.686559000000003,36.713667999999998,34.719999999999999,1783.000000000000000,ZONE 00077,5% slope,Wet Meadow,dense meadow,2016_Early,2852.000000000000000, , , , , , , ,4.0000000,2.0000000,122.9589996,-9,19.0000000,11.0173998,2393.8200684,2003,1,4,2.187992810000000
407,116.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,70.000000000000000,-5.000000000000000,W,S,-118.686531000000002,36.713684000000001,55.600000000000001,1329.000000000000000,[No GPS Lock],5% slope,Wet Meadow,dense meadow,2016_Early,2850.000000000000000, , , , , , , ,4.0000000,4.0000000,122.9589996,-9,19.0000000,11.0173998,2393.8200684,2003,1,4,5.349466350000000
408,117.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,70.000000000000000,5.000000000000000,W,S,-118.686531000000002,36.713664000000001,25.649999999999999,1783.000000000000000,ZONE 00077,5% slope,Wet Meadow,dense meadow,2016_Early,2851.000000000000000, , , , , , , ,4.0000000,4.0000000,122.9589996,-9,19.0000000,11.0173998,2393.8200684,2003,1,4,5.349466350000000
409,114.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,60.000000000000000,-5.000000000000000,W,S,-118.686502000000004,36.713678999999999,55.600000000000001,1329.000000000000000,[No GPS Lock],flat,Wet Meadow,dense meadow,2016_Early,2849.000000000000000, , , , , , , ,4.0000000,4.0000000,122.9589996,-9,19.0000000,11.0173998,2393.8200684,2003,1,4,8.510939890000000
410,115.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,60.000000000000000,5.000000000000000,W,S,-118.686502000000004,36.713659000000000,55.549999999999997,1783.000000000000000,ZONE 00077,flat,Wet Meadow,dense meadow,2016_Early,2850.000000000000000, , , , , , , ,4.0000000,4.0000000,122.9589996,-9,19.0000000,11.0173998,2393.8200684,2003,1,4,8.510939890000000
411,112.000000000000000,5/31/2016 0:00:00,,140.000000000000000, , ,50.000000000000000,-5.000000000000000,W,S,-118.686474000000004,36.713675000000002,55.600000000000001,0.000000000000000, ,standing water,Wet Meadow,dense meadow,2016_Early,0.000000000000000, , , , , , , ,4.0000000,4.0000000,134.5149994,-10,18.0000000,7.9964800,2392.2199707,2003,1,4,11.672413430000001
412,113.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,50.000000000000000,5.000000000000000,W,S,-118.686474000000004,36.713655000000003,55.549999999999997,1783.000000000000000,ZONE 00077,Steep 12% slope,Wet Meadow,dense meadow,2016_Early,2849.000000000000000, , , , , , , ,4.0000000,4.0000000,134.5149994,-10,18.0000000,7.9964800,2392.2199707,2003,1,4,11.672413430000001
413,110.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,40.000000000000000,-5.000000000000000,W,S,-118.686446000000004,36.713670999999998,55.600000000000001,1329.000000000000000,[No GPS Lock],Steep 12% slope,Wet Meadow,dense meadow,2016_Early,2848.000000000000000, , , , , , , ,4.0000000,4.0000000,134.5149994,-10,18.0000000,7.9964800,2392.2199707,2003,1,4,14.833886959999999
414,111.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,40.000000000000000,5.000000000000000,W,S,-118.686446000000004,36.713650999999999,55.549999999999997,1783.000000000000000,ZONE 00077,Steep 12% slope,Wet Meadow,dense meadow,2016_Early,2848.000000000000000, , , , , , , ,4.0000000,4.0000000,134.5149994,-10,18.0000000,7.9964800,2392.2199707,2003,1,4,14.833886959999999
415,108.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,30.000000000000000,-5.000000000000000,W,S,-118.686417000000006,36.713666000000003,55.600000000000001,1329.000000000000000,[No GPS Lock],flat,Wet Meadow,dense meadow,2016_Early,2847.000000000000000, , , , , , , ,4.0000000,4.0000000,134.5149994,-10,18.0000000,7.9964800,2392.2199707,2003,1,4,17.995360500000000
416,109.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,30.000000000000000,5.000000000000000,W,S,-118.686417000000006,36.713645999999997,55.549999999999997,1783.000000000000000,ZONE 00077,flat,Wet Meadow,dense meadow,2016_Early,2847.000000000000000, , , , , , , ,4.0000000,4.0000000,134.5149994,-10,18.0000000,7.9964800,2392.2199707,2003,1,4,17.995360500000000
417,106.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,20.000000000000000,-5.000000000000000,W,S,-118.686389000000005,36.713661999999999,55.600000000000001,1329.000000000000000,[No GPS Lock],flat,Wet Meadow,dense meadow,2016_Early,2846.000000000000000, , , , , , , ,4.0000000,4.0000000,187.7590027,-10,53315.0000000,5.6661401,2391.7399902,2003,1,4,21.156834040000000
418,107.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,20.000000000000000,5.000000000000000,W,S,-118.686389000000005,36.713642000000000,55.549999999999997,1783.000000000000000,ZONE 00077,flat,Wet Meadow,dense meadow,2016_Early,2846.000000000000000, , , , , , , ,4.0000000,4.0000000,187.7590027,-10,53315.0000000,5.6661401,2391.7399902,2003,1,4,21.156834040000000
419,104.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,10.000000000000000,-5.000000000000000,W,S,-118.686359999999993,36.713656999999998,55.600000000000001,1329.000000000000000,[No GPS Lock],flat,Wet Meadow,dense meadow,2016_Early,2845.000000000000000, , , , , , , ,4.0000000,4.0000000,187.7590027,-10,53315.0000000,5.6661401,2391.7399902,2003,1,4,24.318307579999999
420,105.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,10.000000000000000,5.000000000000000,W,S,-118.686359999999993,36.713636999999999,55.549999999999997,1783.000000000000000,ZONE 00077,flat,Wet Meadow,dense meadow,2016_Early,2845.000000000000000, , , , , , , ,4.0000000,4.0000000,187.7590027,-10,53315.0000000,5.6661401,2391.7399902,2003,1,4,24.318307579999999
421,102.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,0.000000000000000,-5.000000000000000,W,S,-118.686331999999993,36.713653000000001,55.600000000000001,1329.000000000000000,[No GPS Lock],flat; WPT 700,Wet Meadow,dense meadow,2016_Early,2844.000000000000000, , , , , , , ,4.0000000,4.0000000,187.7590027,-10,53315.0000000,5.6661401,2391.7399902,2003,1,4,27.479781119999998
422,103.000000000000000,5/31/2016 0:00:00,,140.000000000000000, , ,0.000000000000000,5.000000000000000,W,S,-118.686331999999993,36.713633000000002,55.549999999999997,0.000000000000000, ,standing water,Wet Meadow,dense meadow,2016_Early,0.000000000000000, , , , , , , ,4.0000000,4.0000000,187.7590027,-10,53315.0000000,5.6661401,2391.7399902,2003,1,4,27.479781119999998
423,1310.000000000000000,7/26/2016 0:00:00,,140.000000000000000, , ,100.000000000000000,-5.000000000000000,NW,NE,-118.686576000000002,36.713614999999997,2.000000000000000,1783.000000000000000, ,WPT 992,Wet Meadow,dense meadow,2016_Late,0.000000000000000,121, , , , , , ,4.0000000,2.0000000,125.3079987,-7,10.0000000,12.2642002,2395.5200195,2003,1,4,1.657575720000000
424,1321.000000000000000,7/26/2016 0:00:00,12/30/1899 0:00:00,140.000000000000000, , ,100.000000000000000,5.000000000000000,NW,NE,-118.686576000000002,36.713634999999996,2.950000000000000,1329.000000000000000,[No GPS Lock],WPT 992,Wet Meadow,dense meadow,2016_Late,4185.000000000000000,122, , , , , , ,4.0000000,2.0000000,125.3079987,-7,10.0000000,12.2642002,2395.5200195,2003,1,4,0.317825360000000
