FID,MEASID,TimeStamp,Time,Site,LonBase,LatBase,Dist1__ft_,Dist2_Y,Dir1_X,Dir2_Y,LonPoint,LatPoint,Soil_Sat__,ID,Zone,Notes,Veg_Orig,Veg,Trip,Record_in,Lat_from_T,Longitude,Period___u,Attenuatio,Permittivi,Probe_Mode,F27,1973_raste,2014_raste,aspect,tpi_300m,flow_acc_d,slope_deg,Elevation,Fire_Year_,Fire_Num,Fire_Max_S,RASTERVALU
1884,473.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,90.000000000000000,-5.000000000000000,N,E,-118.688428000000002,36.712749000000002,30.410000000000000,1783.000000000000000,[No GPS Lock],30.41,"Conifer, PICO",mixed conifer,2016_Early,2828.000000000000000, , , , , , , ,6.0000000,6.0000000,150.2660065,-3,101.0000000,3.8741100,2403.1499023,2003,1,3,239.716883770000010
1885,460.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,55.000000000000000,5.000000000000000,N,E,-118.688427000000004,36.712649999999996,55.600000000000001,1329.000000000000000,[No GPS Lock],55.6,"Conifer, PICO",mixed conifer,2016_Early,2832.000000000000000, , , , , , , ,6.0000000,6.0000000,147.4440002,-3,90.0000000,3.7040601,2402.5600586,2003,1,3,245.989800440000010
1886,475.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,95.000000000000000,-5.000000000000000,N,E,-118.688424999999995,36.712763000000002,21.340000000000000,1783.000000000000000,[No GPS Lock],21.34,"Conifer, PICO",mixed conifer,2016_Early,2827.000000000000000, , , , , , , ,6.0000000,6.0000000,150.9299927,-3,23.0000000,3.9038100,2402.8200684,2003,1,3,238.554731040000007
1887,462.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,60.000000000000000,5.000000000000000,N,E,-118.688423999999998,36.712663999999997,48.100000000000001,1329.000000000000000,[No GPS Lock],48.1,"Conifer, PICO",mixed conifer,2016_Early,2831.000000000000000, , , , , , , ,6.0000000,6.0000000,148.3719940,-3,102.0000000,3.8165400,2402.2099609,2003,1,3,244.816165579999989
1888,477.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,100.000000000000000,-5.000000000000000,N,E,-118.688423000000000,36.712777000000003,39.600000000000001,1783.000000000000000,[No GPS Lock],log over transect,"Conifer, PICO",mixed conifer,2016_Early,2826.000000000000000, , , , , , , ,6.0000000,6.0000000,150.9299927,-3,23.0000000,3.9038100,2402.8200684,2003,1,3,237.399821140000000
1889,464.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,65.000000000000000,5.000000000000000,N,E,-118.688421000000005,36.712677999999997,30.680000000000000,1329.000000000000000,[No GPS Lock],30.68,"Conifer, PICO",mixed conifer,2016_Early,2830.000000000000000, , , , , , , ,6.0000000,6.0000000,148.3719940,-3,102.0000000,3.8165400,2402.2099609,2003,1,3,243.645498730000014
1890,479.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,105.000000000000000,-5.000000000000000,N,E,-118.688419999999994,36.712791000000003,31.969999999999999,1783.000000000000000,[No GPS Lock],31.97,"Conifer, PICO",mixed conifer,2016_Early,2825.000000000000000, , , , , , , ,6.0000000,6.0000000,149.6170044,-3,95.0000000,3.8139300,2403.4299316,2003,1,3,236.233216459999994
1891,466.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,70.000000000000000,5.000000000000000,N,E,-118.688418999999996,36.712691999999997,33.520000000000003,1329.000000000000000,[No GPS Lock],33.52,"Conifer, PICO",mixed conifer,2016_Early,2829.000000000000000, , , , , , , ,6.0000000,6.0000000,150.9299927,-3,23.0000000,3.9038100,2402.8200684,2003,1,3,242.487063379999995
1892,481.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,110.000000000000000,-5.000000000000000,N,E,-118.688417000000001,36.712805000000003,24.449999999999999,1783.000000000000000,[No GPS Lock],24.45,"Conifer, PICO",mixed conifer,2016_Early,2824.000000000000000, , , , , , , ,6.0000000,6.0000000,149.6170044,-3,95.0000000,3.8139300,2403.4299316,2003,1,3,235.064365000000009
1893,468.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,75.000000000000000,5.000000000000000,N,E,-118.688416000000004,36.712707000000002,51.950000000000003,1329.000000000000000,[No GPS Lock],51.95,"Conifer, PICO",mixed conifer,2016_Early,2828.000000000000000, , , , , , , ,6.0000000,6.0000000,150.9299927,-3,23.0000000,3.9038100,2402.8200684,2003,1,3,241.324262040000008
